industry,name,rank,founded,country
Industrial Automation,Endress Hauser,10,1953 (70 yrs old),Austria
Software Product,Prometric Testing,11,1990 (33 yrs old),France
Real Estate,ABIL Group,12,1979 (44 yrs old),Italy
Engineering & Construction,Jobby Engineers,13,1970 (53 yrs old),UK
Industrial Machinery,Elkayem Auto Ancillaries,14,1988 (35 yrs old),Germany
Automobile,Lakshmi Hyundai,15,1998 (25 yrs old),UK
Logistics,FM LOGISTIC,16,1967 (56 yrs old),Switzerland
Internet,Tekion,17,2016 (7 yrs old),Finland
Retail,Cex Webuy Entertainment,18,1992 (31 yrs old),Austria
Electronics Manufacturing,M Tech Innovations,19,1992 (31 yrs old),France
Education & Training,Mindseed,20,2012 (11 yrs old),Norway
BPO,Transact Global,21,2008 (15 yrs old),Poland
Investment Banking / Venture Capital / Private Equity,SysArc Infomatix,22,1997 (26 yrs old),Italy
Education & Training,IFTM University,23,1996 (27 yrs old),UK
IT Services & Consulting,Huron Consulting Group,24,2002 (21 yrs old),Italy
Pharma,Akorn,25,1971 (52 yrs old),UK
EdTech,Six Red Marbles,26,1996 (27 yrs old),Norway
Packaging,Shankar Packagings,27,1985 (38 yrs old),UK
Auto Components,Nahars Engineering India,28,1979 (44 yrs old),Belgium
Healthcare,W Pratiksha Hospital,29,2007 (16 yrs old),Latvia
Government,Gram Panchayat,30,,Italy
Management Consulting,Skp Business Consulting Llp,31,1998 (25 yrs old),Germany
Iron & Steel,Bhilai Iron And Steel Processing Company,32,2008 (15 yrs old),The Netherlands
Recruitment,VBeyond Corporation,33,2006 (17 yrs old),Luxembourg
Investment Banking / Venture Capital / Private Equity,Dezire Research,34,2016 (7 yrs old),Germany
Education & Training,Birla Open Minds International School,35,2010 (13 yrs old),France
NBFC,Belstar Microfinance,36,,Spain
FMCG,Cherise India,37,,Poland
Broadcasting,ABP Network,38,2003 (20 yrs old),Germany
IT Services & Consulting,QUADRANT RESOURCE LLC,39,,Italy
IT Services & Consulting,Kaar Tech,40,2005 (18 yrs old),UK
Financial Services,Way2wealth Brokers,41,1984 (39 yrs old),France
Printing & Publishing,Eastern Book Company,42,1942 (81 yrs old),The Netherlands
Pharma,Arbro Pharmaceuticals,43,1985 (38 yrs old),Germany
Recruitment,TTK Services,44,2000 (23 yrs old),UK
Education & Training,Aero Club,45,1927 (96 yrs old),Italy
Pharma,Steadfast Medishield,46,,UK
Industrial Machinery,Komatsu,47,1921 (102 yrs old),UK
IT Services & Consulting,ServiceNow,48,2004 (19 yrs old),Sweden
Healthcare,NIMHANS,49,1925 (98 yrs old),Poland
Engineering & Construction,Facilities And Building Solutions,50,2005 (18 yrs old),France
Metals & Mining,Asian Colour Coated Ispat,51,2005 (18 yrs old),Greece
Printing & Publishing,ARC Document Solutions,52,1988 (35 yrs old),France
Internet,Zopper,53,2011 (12 yrs old),UK
Recruitment,Live Connections,54,1996 (27 yrs old),UK
Industrial Machinery,SAN Engineering & Locomotive,55,1969 (54 yrs old),Germany
Government,Indo-Tibetan Border Police,56,1962 (61 yrs old),UK
Retail,Maple Digital Technology,57,2009 (14 yrs old),Italy
Government,Government of Madhya Pradesh,58,1956 (67 yrs old),Germany
Chemicals,Ashland,59,1924 (99 yrs old),Italy
Manufacturing,Rishi Laser,60,1992 (31 yrs old),The Netherlands
IT Services & Consulting,Finoit Technologies,61,2010 (13 yrs old),UK
Beverage,Amalgamated Plantations,62,1873 (150 yrs old),Germany
Education & Training,Fitkids Education and Training,63,2009 (14 yrs old),France
Marketing & Advertising,Digitas,64,2006 (17 yrs old),Italy
Automobile,Lohia Auto Industries,65,2008 (15 yrs old),Italy
IT Services & Consulting,Gyansys Infotech,66,2005 (18 yrs old),Spain
Electronics Manufacturing,Vee Gee Industrial Enterprises,67,2007 (16 yrs old),Italy
Automobile,General Motors Technical Centre India,68,1996 (27 yrs old),Finland
Logistics,Total Shipping & Logistics,69,1998 (25 yrs old),Poland
Education & Training,Centurion University of Technology and Management,70,1997 (26 yrs old),Poland
Waste Management,SIMA Labs,71,1988 (35 yrs old),Germany
Iron & Steel,Ramco Steels,72,1994 (29 yrs old),France
Engineering & Construction,Bhavani Erectors,73,1985 (38 yrs old),Italy
Pharma,Innova Captab,74,2006 (17 yrs old),UK
Healthcare,MGM Medical College & Hospital,75,1961 (62 yrs old),Italy
Healthcare,Noble Hospital,76,1996 (27 yrs old),UK
Internet,C2L BIZ,77,2007 (16 yrs old),Italy
Printing & Publishing,ARC Document Solutions,78,1988 (35 yrs old),France
Auto Components,Classic Stripes,79,1987 (36 yrs old),UK
Defence & Aerospace,Vikram Sarabhai Space Centre,80,1962 (61 yrs old),Germany
Healthcare,Aakash Hospital,81,2005 (18 yrs old),UK
Furniture & Furnishing,Merino Panel Products,82,1974 (49 yrs old),UK
Engineering & Construction,Gala Precision Engineering,83,1995 (28 yrs old),Italy
Electrical Equipment,Transformers & Rectifiers (India),84,1994 (29 yrs old),Portugal
Beverage,Amalgamated Plantations,85,1873 (150 yrs old),France
Financial Services,Tata Mutual Fund,86,1994 (29 yrs old),Denmark
Education & Training,S.k Educations,87,1999 (24 yrs old),Italy
Food Processing,Eat 'N' Fit Agro Foods,88,2014 (9 yrs old),UK
Recruitment,SecUR Credentials,89,2001 (22 yrs old),UK
Insurance,Vidal Health Insurance,90,,Italy
Engineering & Construction,Facilities And Building Solutions,91,2005 (18 yrs old),Germany
Industrial Machinery,SAN Engineering & Locomotive,92,1969 (54 yrs old),Sweden
Pharma,Innova Captab,93,2006 (17 yrs old),Italy
Education & Training,Fitkids Education and Training,94,2009 (14 yrs old),UK
Food Processing,Govind Milk & Milk Products,95,1996 (27 yrs old),Italy
Marketing & Advertising,Digitas,96,2006 (17 yrs old),Spain
Automobile,Lohia Auto Industries,97,2008 (15 yrs old),Germany
IT Services & Consulting,Gyansys Infotech,98,2005 (18 yrs old),UK
Engineering & Construction,Bhavani Erectors,99,1985 (38 yrs old),France
Logistics,Total Shipping & Logistics,100,1998 (25 yrs old),UK
Waste Management,SIMA Labs,101,1988 (35 yrs old),Cyprus
Education & Training,Centurion University of Technology and Management,102,1997 (26 yrs old),Italy
Iron & Steel,Ramco Steels,103,1994 (29 yrs old),The Netherlands
Healthcare,MGM Medical College & Hospital,104,1961 (62 yrs old),Portugal
Industrial Machinery,Bobst India,105,1890 (133 yrs old),Germany
Auto Components,Mangal Industries,106,1990 (33 yrs old),Hungary
Logistics,Goodrich Maritime,107,1997 (26 yrs old),Norway
Petrochemicals,Prayag Polymers,108,1986 (37 yrs old),Belgium
,Preet Group,109,1977 (46 yrs old),UK
Recruitment,SecUR Credentials,110,2001 (22 yrs old),Italy
Food Processing,Eat 'N' Fit Agro Foods,111,2014 (9 yrs old),Germany
Internet,Tradologie.com,112,2016 (7 yrs old),Hungary
Pharma,Tirupati Life Sciences,113,2007 (16 yrs old),Italy
Fashion & Textile,Ramraj Cotton,114,1983 (40 yrs old),Italy
Food Processing,Govind Milk & Milk Products,115,1996 (27 yrs old),Germany
Telecom,TNS,116,2001 (22 yrs old),France
Engineering & Construction,Elite Engineering And Construction,117,2010 (13 yrs old),Ireland
Engineering & Construction,Jash Engineering,118,1948 (75 yrs old),France
Metals & Mining,Pilot Industries,119,1969 (54 yrs old),Italy
Insurance,Vidal Health Insurance,120,,Germany
NBFC,MINI MUTHOOTTU NIDHI K,121,1921 (102 yrs old),Germany
IT Services & Consulting,Saburi TLC,122,2012 (11 yrs old),France
IT Services & Consulting,Vertafore,123,1969 (54 yrs old),Italy
,Osource Global,124,,UK
,Marelli Motherson Automotive Lighting,125,,UK
,iNeuron.ai,126,,Poland
EdTech,IFAS Edutech,127,2002 (21 yrs old),Slovakia
EdTech,Oda Class,128,2017 (6 yrs old),Italy
Other,Ketsaal Retails,129,2017 (6 yrs old),Italy
IT Services & Consulting,Navigators Software,130,1999 (24 yrs old),Sweden
Travel & Tourism,Desnor Destination,131,,UK
,Sigma Engineered Solutions,132,,Germany
Agro Chemicals,Meghmani Industries,133,1986 (37 yrs old),France
Oil & Gas,Jal International,134,1985 (38 yrs old),Denmark
IT Services & Consulting,SAG Infotech,135,1999 (24 yrs old),Germany
Healthcare,Express Clinics,136,2011 (12 yrs old),Italy
IT Services & Consulting,Exilant Technologies,137,2004 (19 yrs old),France
IT Services & Consulting,CAMP Systems,138,1968 (55 yrs old),France
Electronics Manufacturing,Delta Power Solutions,139,1971 (52 yrs old),France
Education & Training,PGIMER,140,1963 (60 yrs old),Germany
Telecom,Netxcell,141,2000 (23 yrs old),Estonia
Chemicals,Aditya Birla Chemicals,142,1984 (39 yrs old),Italy
Consumer Electronics & Appliances,Patni Computer Systems,143,1942 (81 yrs old),Germany
Industrial Machinery,KHD Humboldt Wedag,144,1976 (47 yrs old),Denmark
Food Processing,Simbhaoli Sugars,145,1933 (90 yrs old),Italy
Pulp & Paper,The West Coast Paper Mills,146,1955 (68 yrs old),Italy
Automobile,AMW Motors,147,2002 (21 yrs old),The Netherlands
Healthcare,Vikram Hospital,148,2009 (14 yrs old),Spain
BPO,Sanghvi Movers,149,1989 (34 yrs old),UK
Engineering & Construction,Konstelec Engineers,150,1995 (28 yrs old),Germany
Software Product,Greytip Software,151,1994 (29 yrs old),The Netherlands
Media & Entertainment,Hungama Digital Media Entertainment,152,1999 (24 yrs old),Italy
Healthcare,Prince Aly Khan Hospital,153,1945 (78 yrs old),UK
IT Services & Consulting,Mantra Softech,154,2006 (17 yrs old),Italy
Healthcare,Omni Hospital,155,2010 (13 yrs old),UK
Pharma,Smilax Laboratories,156,2005 (18 yrs old),Hungary
Real Estate,Gleeds Hooloomann Consulting,157,2004 (19 yrs old),Germany
Industrial Machinery,The India Thermit Corporation,158,1951 (72 yrs old),UK
Semiconductors,INDOASIAN,159,1958 (65 yrs old),Spain
Industrial Machinery,MAT Brakes,160,,France
Engineering & Construction,HM Constructions,161,1991 (32 yrs old),Sweden
Pharma,Mepro Pharmaceuticals,162,1982 (41 yrs old),Germany
Chemicals,Porus Laboratories,163,1994 (29 yrs old),Sweden
Industrial Machinery,Tecosim Engineering Services,164,2009 (14 yrs old),Ireland
Engineering & Construction,Ultratech Cement Ltd- Rmc Div,165,,UK
IT Services & Consulting,Exilant Technologies,166,2004 (19 yrs old),Italy
EdTech,Valued Epistemics,167,2008 (15 yrs old),Lithuania
IT Services & Consulting,Greytrix,168,2000 (23 yrs old),Spain
IT Services & Consulting,Techolution,169,2015 (8 yrs old),Czech Republic
Hardware & Networking,TransPerfect,170,1992 (31 yrs old),Germany
Power,Senvion,171,2017 (6 yrs old),Italy
Industrial Machinery,Liebherr,172,2013 (10 yrs old),Germany
Urban Transport,Naresh Kumar & Co.,173,1925 (98 yrs old),Denmark
Electrical Equipment,Oorja Technical Services,174,2004 (19 yrs old),Sweden
Food Processing,Naga,175,1962 (61 yrs old),Poland
Metals & Mining,Srikalahasthi Pipes,176,1991 (32 yrs old),Italy
Agriculture,IPL Biologicals,177,1994 (29 yrs old),Spain
Software Product,Greytip Software,178,1994 (29 yrs old),Lithuania
Media & Entertainment,Hungama Digital Media Entertainment,179,1999 (24 yrs old),The Netherlands
Healthcare,Basavatarakam Indo American Cancer Hospital Research Institute,180,2000 (23 yrs old),Spain
Telecom,HTL,181,1960 (63 yrs old),Ireland
Automobile,Amp Motors,182,1949 (74 yrs old),Greece
Industrial Machinery,Tecosim Engineering Services,183,2009 (14 yrs old),Italy
Engineering & Construction,Ultratech Cement Ltd- Rmc Div,184,,France
Industrial Machinery,New Swan Multitech,185,2009 (14 yrs old),UK
Chemicals,Porus Laboratories,186,1994 (29 yrs old),The Netherlands
Engineering & Construction,AL Rashid Trading and Contracting Company,187,1957 (66 yrs old),France
Semiconductors,Baker Gauges,188,1972 (51 yrs old),Germany
Food Processing,Simbhaoli Sugars,189,1933 (90 yrs old),Italy
Healthcare,Express Clinics,190,2011 (12 yrs old),Croatia
Real Estate,Vestian Global Workplace Services,191,2010 (13 yrs old),Spain
Financial Services,LIC Mutual Fund,192,1989 (34 yrs old),Italy
Electronics Manufacturing,Karbonn Mobile,193,2009 (14 yrs old),Germany
IT Services & Consulting,Vayam Technologies,194,2000 (23 yrs old),Hungary
Industrial Machinery,Nelson Global Products,195,1939 (84 yrs old),Czech Republic
Industrial Machinery,Nelson Global Products,196,1939 (84 yrs old),Denmark
Chemicals,DSM,197,1902 (121 yrs old),Estonia
Real Estate,Gleeds Hooloomann Consulting,198,2004 (19 yrs old),Italy
Industrial Machinery,The India Thermit Corporation,199,1951 (72 yrs old),France
Healthcare,Prince Aly Khan Hospital,200,1945 (78 yrs old),UK
Healthcare,MAMTA Health Institute for Mother and child,201,1990 (33 yrs old),UK
Auto Components,Radiant Polymers,202,1989 (34 yrs old),Germany
Food Processing,Duncans Industries,203,1859 (164 yrs old),Italy
Industrial Machinery,Western Heat And Forge,204,1982 (41 yrs old),UK
Engineering & Construction,Metec Design & Construction Engineers,205,2002 (21 yrs old),Sweden
Pharma,Smilax Laboratories,206,2005 (18 yrs old),Germany
IT Services & Consulting,Mantra Softech,207,2006 (17 yrs old),UK
Healthcare,Omni Hospital,208,2010 (13 yrs old),Germany
Engineering & Construction,HM Constructions,209,1991 (32 yrs old),Germany
Engineering & Construction,Bondada Engineering,210,2012 (11 yrs old),France
Medical Equipment,CL MICROMED,211,1987 (36 yrs old),Italy
Pharma,Lifcare Pharmacy,212,2015 (8 yrs old),UK
Hospitality,ADNH Compass,213,2000 (23 yrs old),Germany
,Ghantoot Gulf Contracting,214,,Finland
BPO,Frontizo Business Services,215,2012 (11 yrs old),Spain
Law Enforcement & Security,Network Intelligence India,216,2001 (22 yrs old),Sweden
Pharma,Glatt Systems,217,1954 (69 yrs old),Italy
Fashion & Textile,Sahu Exports,218,1979 (44 yrs old),Italy
Education & Training,Ncr Eduservices,219,2012 (11 yrs old),UK
Food Processing,Ramani Ice Cream Co.,220,1988 (35 yrs old),Sweden
Education & Training,DM Wayanad Institute of Medical Sciences,221,2010 (13 yrs old),Germany
Education & Training,TEXILA AMERICAN UNIVERSITY,222,2010 (13 yrs old),Italy
Pharma,Mepro Pharmaceuticals,223,1982 (41 yrs old),Germany
Industrial Machinery,Deepak Fasteners,224,1958 (65 yrs old),Croatia
Facility Management Services,Lion Services,225,1987 (36 yrs old),Denmark
Logistics,Lynk,226,2015 (8 yrs old),UK
Education & Training,Sri Chaitanya Junior College,227,1986 (37 yrs old),Germany
Industrial Machinery,Rotodyne Industries,228,1996 (27 yrs old),Germany
Engineering & Construction,SNS Group,229,2001 (22 yrs old),Greece
Non-Profit,Student Life,230,2018 (5 yrs old),UK
IT Services & Consulting,Sellcraft Global Solutions,231,1987 (36 yrs old),Germany
Pharma,Hetero Biopharma,232,2009 (14 yrs old),UK
Software Product,Signex Technologies,233,,Germany
Engineering & Construction,Wood PLC,234,,UK
Electronics Manufacturing,DBG TECHNOLOGIES PVT,235,,Italy
,Ola cars,236,,Poland
,Ajio Business,237,,Germany
Electrical Equipment,Servotech Power Systems,238,1994 (29 yrs old),Germany
Electronics Manufacturing,Portescap,239,1931 (92 yrs old),Germany
IT Services & Consulting,Lister Technologies,240,2000 (23 yrs old),Finland
Auto Components,Ventech (India),241,2012 (11 yrs old),Sweden
IT Services & Consulting,Sri Mookambika Infosolutions,242,2006 (17 yrs old),UK
Media & Entertainment,Gracenote,243,1998 (25 yrs old),France
Fashion & Textile,Alps Industries,244,1962 (61 yrs old),France
Healthcare,Saarathi Healthcare,245,2008 (15 yrs old),Italy
Logistics,PFSweb,246,1999 (24 yrs old),Spain
Engineering & Construction,NRP Projects,247,1964 (59 yrs old),Sweden
Aviation,RDM India,248,1992 (31 yrs old),UK
Pharma,Anglo-French Drugs & Industries,249,1923 (100 yrs old),Germany
Aviation,Saudi Arabian Airlines,250,1945 (78 yrs old),UK
IT Services & Consulting,Panamax Infotech,251,2001 (22 yrs old),Germany
IT Services & Consulting,Velan Info Services,252,2007 (16 yrs old),France
IT Services & Consulting,Supertron Electronics,253,1993 (30 yrs old),Italy
Education & Training,Mahesh Tutorials,254,1988 (35 yrs old),Spain
IT Services & Consulting,Pentagon System and Services,255,1994 (29 yrs old),UK
IT Services & Consulting,Zigma Technologies,256,2004 (19 yrs old),Poland
Electrical Equipment,Listenlights,257,1986 (37 yrs old),Italy
Food Processing,Grb Dairy Foods,258,1984 (39 yrs old),Italy
Agro Chemicals,Astec LifeSciences,259,1994 (29 yrs old),UK
Fashion & Textile,Centex Exports,260,1969 (54 yrs old),Italy
Healthcare,Vivekananda Hospital,261,1966 (57 yrs old),France
Real Estate,Space Matrix Design Consultants,262,2001 (22 yrs old),UK
FMCG,Maiyas Beverages Foods,263,1988 (35 yrs old),Italy
Fashion & Textile,Zivame.com,264,2011 (12 yrs old),UK
Industrial Machinery,Jm Frictech,265,2008 (15 yrs old),Norway
Power,West Bengal Power Development Corporation,266,1985 (38 yrs old),UK
Industrial Machinery,Multitex Filtration Engineers,267,1976 (47 yrs old),Italy
Retail,DesignCafe,268,"HQ - Bangalore, Karnataka, India Retail 501-1k Employees (India) Furniture & Furnishing",Germany
Consumer Electronics & Appliances,Zicom Electronic Security Systems,269,1994 (29 yrs old),Italy
Automobile,Bafna Motors,270,1956 (67 yrs old),Spain
Oil & Gas,Nandan Petrochem,271,1992 (31 yrs old),Belgium
Electronics Manufacturing,Jaycee Punching Solution,272,2007 (16 yrs old),Sweden
Aviation,Gvk Power & Infrastructure,273,2005 (18 yrs old),Czech Republic
Logistics,Shree Shubham Logistics,274,2007 (16 yrs old),Italy
Telecom,Decon Telecom Solutions,275,1993 (30 yrs old),UK
Retail,Foodhall Future Group,276,2011 (12 yrs old),Spain
Engineering & Construction,"Cmc Limited, A Tata Enterprise",277,1975 (48 yrs old),Germany
IT Services & Consulting,ACS Global Tech Solutions,278,1998 (25 yrs old),France
Engineering & Construction,NRP Projects,279,1964 (59 yrs old),France
Fashion & Textile,Alps Industries,280,1962 (61 yrs old),Sweden
Logistics,PFSweb,281,1999 (24 yrs old),Germany
IT Services & Consulting,Sri Mookambika Infosolutions,282,2006 (17 yrs old),Italy
Healthcare,Saarathi Healthcare,283,2008 (15 yrs old),Germany
Hospitality,Nando's,284,1987 (36 yrs old),Germany
Analytics & KPO,Getix Health,285,2012 (11 yrs old),Romania
Real Estate,Gulshan Homz,286,1989 (34 yrs old),Croatia
Healthcare,NU Hospitals,287,1999 (24 yrs old),The Netherlands
IT Services & Consulting,Zigma Technologies,288,2004 (19 yrs old),Italy
Electrical Equipment,Listenlights,289,1986 (37 yrs old),Germany
Food Processing,Grb Dairy Foods,290,1984 (39 yrs old),Italy
IT Services & Consulting,ACS Global Tech Solutions,291,1998 (25 yrs old),Czech Republic
Consumer Electronics & Appliances,Zicom Electronic Security Systems,292,1994 (29 yrs old),Portugal
Oil & Gas,Nandan Petrochem,293,1992 (31 yrs old),Germany
Industrial Machinery,Multitex Filtration Engineers,294,1976 (47 yrs old),The Netherlands
Power,West Bengal Power Development Corporation,295,1985 (38 yrs old),UK
Automobile,Bafna Motors,296,1956 (67 yrs old),UK
Iron & Steel,Salasar Techno Engineering,297,2006 (17 yrs old),France
Pharma,Emmennar Pharma,298,2005 (18 yrs old),Finland
Management Consulting,Coherent Market Insights,299,2016 (7 yrs old),Italy
Auto Components,Denso Ten Minda India,300,2012 (11 yrs old),France
IT Services & Consulting,Symsafe Systems,301,2003 (20 yrs old),UK
Pharma,Signutra,302,1990 (33 yrs old),Hungary
Fashion & Textile,Best Corporation,303,1967 (56 yrs old),France
Retail,Foodhall Future Group,304,2011 (12 yrs old),Czech Republic
Logistics,Shree Shubham Logistics,305,2007 (16 yrs old),Finland
Engineering & Construction,"Cmc Limited, A Tata Enterprise",306,1975 (48 yrs old),Italy
Petrochemicals,Premier Plasmotec,307,2009 (14 yrs old),UK
Automobile,DSK Toyota,308,2000 (23 yrs old),Italy
Retail,DesignCafe,309,"HQ - Bangalore, Karnataka, India Retail 501-1k Employees (India) Furniture & Furnishing",Germany
Pharma,Graviti Pharmaceuticals,310,2012 (11 yrs old),UK
Chemicals,Clean Science And Technology,311,2006 (17 yrs old),Italy
IT Services & Consulting,MRCC Solutions,312,IT Services & Consulting 501-1k Employees (India) Recruitment,Germany
Retail,Jumbotail Technologies,313,2015 (8 yrs old),Italy
Pharma,Kepler Healthcare,314,2013 (10 yrs old),Norway
Banking,Mumbai District Central Co-operative Bank,315,1975 (48 yrs old),France
IT Services & Consulting,Eka Software Solutions,316,2004 (19 yrs old),Germany
Food Processing,Gea Process Engineering India,317,1881 (142 yrs old),UK
Investment Banking / Venture Capital / Private Equity,Purnartha Investment Advisors,318,2009 (14 yrs old),Romania
IT Services & Consulting,Zahran Operation & Maintenance,319,1975 (48 yrs old),Italy
Healthcare / Pharma,Entero Healthcare Solutions,320,2018 (5 yrs old),Germany
,Adani Electricity,321,,Italy
Internet,Jai Kisan,322,2017 (6 yrs old),France
FinTech,Opus Consulting Solutions,323,1997 (26 yrs old),France
,Gurukul School,324,2002 (21 yrs old),Cyprus
FinTech,Paytm Money,325,2017 (6 yrs old),Germany
IT Services & Consulting,EzappSolution,326,2008 (15 yrs old),Italy
,ElringKlinger AG,327,1879 (144 yrs old),The Netherlands
IT Services & Consulting,DCM Infotech,328,1993 (30 yrs old),France
IT Services & Consulting,Optus Infotech,329,,Italy
Other,Glass Wall Systems,330,2003 (20 yrs old),UK
Real Estate,Viraaj Ventures,331,,France
Engineering & Construction,BESIX,332,1909 (114 yrs old),Germany
Engineering & Construction,UB Engineering,333,1963 (60 yrs old),Italy
Analytics & KPO,Mordor Intelligence,334,2013 (10 yrs old),Germany
Retail,Lot Mobiles,335,2012 (11 yrs old),Germany
Medical Equipment,Varian Medical Systems,336,1948 (75 yrs old),Germany
Engineering & Construction,Khatib & Alami,337,1964 (59 yrs old),Italy
Retail,Printo Document Services,338,2006 (17 yrs old),France
Broadcasting,Zee News,339,1999 (24 yrs old),Italy
Semiconductors,Microchip Technology,340,1989 (34 yrs old),UK
Engineering & Construction,Comcast,341,,UK
Analytics & KPO,TAM Media Research,342,1998 (25 yrs old),Germany
Jewellery,Bhima Jewellers,343,1925 (98 yrs old),Italy
Printing & Publishing,Contentra Technologies,344,2004 (19 yrs old),Germany
Education & Training,Navodaya Vidyalaya Samiti,345,1985 (38 yrs old),UK
Engineering & Construction,Desein,346,1965 (58 yrs old),Italy
Packaging,Uma Polymers,347,1987 (36 yrs old),UK
Food Processing,National Dairy Development Board,348,1965 (58 yrs old),Austria
Architecture & Interior Design,Grohe,349,1936 (87 yrs old),Italy
IT Services & Consulting,Growel Softech,350,1999 (24 yrs old),France
Building Material,Manikgarh Cement,351,1987 (36 yrs old),Lithuania
Pharma,Ahlcon Parenterals,352,1992 (31 yrs old),Czech Republic
Software Product,Tranistics Data Technologies,353,2010 (13 yrs old),Italy
Oil & Gas,Adyard Abudhabi LLC,354,1996 (27 yrs old),Poland
Chemicals,Finar,355,1998 (25 yrs old),France
Import & Export,P.N. International,356,1998 (25 yrs old),UK
Recruitment,RGBSI,357,1997 (26 yrs old),France
Engineering & Construction,Construction Group,358,,Italy
Facility Management Services,Carillion Alawi LLC,359,1979 (44 yrs old),UK
Electrical Equipment,Goldmedal Electricals,360,1979 (44 yrs old),Poland
Real Estate,Enrich Energy,361,2010 (13 yrs old),UK
Building Material,Deccan Cements,362,1979 (44 yrs old),Italy
Biotechnology,Gujarat Insecticides,363,1980 (43 yrs old),Italy
Healthcare,Calibrated Healthcare Systems,364,2006 (17 yrs old),UK
Industrial Machinery,ITL Industries,365,1985 (38 yrs old),Italy
Industrial Automation,Agiliad Technologies,366,2011 (12 yrs old),Italy
IT Services & Consulting,Nagravision,367,2007 (16 yrs old),Spain
IT Services & Consulting,Systech Solutions,368,1993 (30 yrs old),UK
Marketing & Advertising,SRV Media,369,2011 (12 yrs old),Italy
BPO,Radius Global Solutions,370,2013 (10 yrs old),Germany
Broadcasting,Schawk,371,1953 (70 yrs old),France
Government,Government of Odisha,372,,UK
Food Processing,Lazza Ice Creams,373,1972 (51 yrs old),UK
Recruitment,Avance Consulting Services,374,2007 (16 yrs old),UK
FMCG,Jivo Wellness,375,2008 (15 yrs old),Germany
Government,Government of Odisha,376,,Italy
Engineering & Construction,Khatib & Alami,377,1964 (59 yrs old),Spain
Marketing & Advertising,SRV Media,378,2011 (12 yrs old),Italy
Retail,Printo Document Services,379,2006 (17 yrs old),Germany
Building Material,Deccan Cements,380,1979 (44 yrs old),Belgium
Electrical Equipment,Huber Suhner Electronics,381,1969 (54 yrs old),Poland
Electrical Equipment,Goldmedal Electricals,382,1979 (44 yrs old),Sweden
Real Estate,Enrich Energy,383,2010 (13 yrs old),Germany
IT Services & Consulting,Netsmartz Infotech,384,1999 (24 yrs old),Italy
Food Processing,Lazza Ice Creams,385,1972 (51 yrs old),Italy
Recruitment,Avance Consulting Services,386,2007 (16 yrs old),UK
Banking,New India Co-Op Bank,387,1968 (55 yrs old),Italy
Software Product,Amagi Media Labs,388,2008 (15 yrs old),The Netherlands
IT Services & Consulting,SBL Knowledge Services,389,2005 (18 yrs old),Italy
Pharma,Pharmaceutical job,390,,Germany
Iron & Steel,SAIL Bokaro Steel Plant,391,1964 (59 yrs old),Bulgaria
Education & Training,BANKEDGE,392,2015 (8 yrs old),Romania
IT Services & Consulting,Excel It Service,393,2016 (7 yrs old),Belgium
Accounting & Auditing,S.R.Batliboi & Co.,394,1989 (34 yrs old),Germany
Facility Management Services,Shabari Telecable Network,395,1990 (33 yrs old),France
Engineering & Construction,Almeer Technical Services Co. W.L.L,396,1978 (45 yrs old),UK
Engineering & Construction,Construction Group,397,,UK
FMCG,Jivo Wellness,398,2008 (15 yrs old),Poland
Import & Export,P.N. International,399,1998 (25 yrs old),Italy
Recruitment,RGBSI,400,1997 (26 yrs old),Italy
Facility Management Services,Carillion Alawi LLC,401,1979 (44 yrs old),Germany
Software Product,Amity Software Systems,402,1986 (37 yrs old),Germany
Engineering & Construction,MSV International,403,2001 (22 yrs old),Norway
Auto Components,Mando Softtech,404,2005 (18 yrs old),Italy
Internet,Fisdom,405,2015 (8 yrs old),UK
Advertising / PR / Events,Concentric,406,,Germany
IT Services & Consulting,SBL Knowledge Services,407,2005 (18 yrs old),Italy
IT Services & Consulting,Excel It Service,408,2016 (7 yrs old),Spain
Real Estate,Avinash Group,409,1996 (27 yrs old),France
Healthcare,Believers Church Medical College Hospital,410,2014 (9 yrs old),France
Iron & Steel,Shri Mahavir ferro Alloys,411,1996 (27 yrs old),Germany
Software Product,Amagi Media Labs,412,2008 (15 yrs old),Bulgaria
Power,Unitech Power Transmission,413,1995 (28 yrs old),Germany
Waste Management,Sms Envocare,414,2003 (20 yrs old),France
Industrial Machinery,Epp Composites,415,1986 (37 yrs old),France
Petrochemicals,Exel Rubber,416,1990 (33 yrs old),Germany
IT Services & Consulting,MasterSoft ERP Solutions,417,1995 (28 yrs old),Germany
Healthcare,KMC HOSPITAL,418,1982 (41 yrs old),France
Pharma,Pharmaceutical job,419,,UK
Iron & Steel,SAIL Bokaro Steel Plant,420,1964 (59 yrs old),France
Auto Components,Mando Softtech,421,2005 (18 yrs old),Slovakia
Metals & Mining,Emirates Global Aluminium,422,1979 (44 yrs old),Poland
Engineering & Construction,MSV International,423,2001 (22 yrs old),UK
Software Product,Amity Software Systems,424,1986 (37 yrs old),Italy
Industrial Automation,Siemens Industry Software (India),425,1998 (25 yrs old),Slovakia
Hospitality,Aloft Hotels,426,2007 (16 yrs old),Italy
EdTech,PrepLadder,427,2015 (8 yrs old),UK
Internet,Fisdom,428,2015 (8 yrs old),Spain
Electronics Manufacturing,Wingtech Mobile Communication,429,,Italy
IT Services & Consulting,UST Product Engineering,430,1996 (27 yrs old),UK
,Txd (india) Technology,431,,UK
